short_name,sequence,MOTA,IDF1,HOTA,MT,ML,FP,FN,Rcll,Prcn,AssA,DetA,AssRe,AssPr,DetRe,DetPr,LocA,FAR,IDSW,FM,Rcll,Prcn,runtime,IDP,IDR,IDSWR,detector
TransCenter,MOT20-06,41.7952,32.87,29.035,79,70,19267,56056,57.7755,79.9235,21.438,39.9778,27.4034,43.7882,46.4757,64.292,79.4373,19.1141,1948,3654,57.7755,79.9235,4478.5,39.1703,28.3156,,1
TransCenter,MOT20-04,74.3568,61.0623,52.3602,419,47,23964,44992,83.5846,90.5302,43.8352,62.9785,53.1914,65.7011,69.8168,75.6184,81.9576,11.5212,1328,3128,83.5846,90.5302,4478.5,63.5994,58.72,,1
Tracktor++v2,OVERALL,52.6004,52.6726,42.1009,365,331,6930,236680,54.2582,97.591,42.048,42.2767,45.8839,71.6292,44.0942,79.313,82.3765,1.54722,1648,4374,54.2582,97.591,3795,73.7058,40.9786,30.3733,0
Tracktor++v2,MOT20-08,21.0043,27.1723,23.4273,12,116,2078,58880,24.0101,89.9526,29.4984,18.723,32.0304,66.8862,19.449,72.868,81.0918,2.57816,251,734,24.0101,89.9526,3795,64.486,17.2126,10.4539,0
Tracktor++v2,MOT20-07,50.077,49.5877,39.2749,27,23,252,16127,51.2794,98.5371,38.4359,40.3928,42.3625,72.4187,42.0552,80.812,83.4751,0.430769,146,304,51.2794,98.5371,3795,72.437,37.6967,2.84715,0
Tracktor++v2,MOT20-06,30.1235,33.2424,26.5512,28,137,1745,90509,31.8236,96.0335,28.6054,24.7083,31.3539,65.8971,25.5131,76.9991,81.4116,1.73115,512,1408,31.8236,96.0335,3795,66.7788,22.1292,16.0887,0
Tracktor++v2,MOT20-04,72.7244,65.3696,51.4903,298,55,2855,71164,74.0357,98.6126,46.21,57.531,50.35,73.0939,60.3078,80.3299,82.6048,1.3726,739,1928,74.0357,98.6126,3795,76.2197,57.2237,9.98167,0
TMOH,OVERALL,60.1327,61.2135,48.947,580,221,38043,165899,67.9376,90.2346,48.4086,49.676,52.8629,71.0236,54.8428,72.907,81.2382,8.49364,2342,4320,67.9376,90.2346,8054.89,71.2586,53.6506,34.4728,0
TMOH,MOT20-08,28.4214,37.3006,29.3719,21,84,9121,45855,40.82,77.6172,30.9518,28.2237,34.3925,61.8431,31.872,60.7819,77.5761,11.3164,486,895,40.82,77.6172,8054.89,54.1129,28.4588,11.9059,0
TMOH,MOT20-07,65.572,61.873,48.9405,48,11,901,10361,68.6988,96.1888,46.6207,51.7932,51.4127,71.3615,55.257,77.3781,81.8352,1.54017,134,227,68.6988,96.1888,8054.89,74.2524,53.0316,1.95054,0
TMOH,MOT20-06,39.7358,40.332,32.251,63,86,11623,67403,49.2283,84.9007,29.9474,34.9522,33.8974,59.1171,38.7637,67.0003,79.1253,11.5308,979,1660,49.2283,84.9007,8054.89,54.945,31.859,19.8869,0
TMOH,MOT20-04,78.3202,74.9406,59.2684,448,40,16398,42280,84.5741,93.3933,55.8269,63.0252,60.4363,75.2748,69.0748,76.2947,82.2927,7.88365,743,1538,84.5741,93.3933,8054.89,78.8479,71.4022,8.7852,0
TMM,OVERALL,43.3109,45.207,36.1733,218,327,27953,262406,49.2863,90.1217,35.7713,36.979,39.5758,65.2076,39.8231,72.8179,80.7934,6.2409,2965,7477,49.2863,90.1217,20338200,63.9347,34.965,,1
TMM,MOT20-08,13.3486,24.3303,20.0594,10,101,11155,55438,28.4523,66.4016,20.928,19.6169,23.4757,51.561,22.2496,51.9257,74.1034,13.84,548,1106,28.4523,66.4016,20338200,40.556,17.3778,,1
TMM,MOT20-07,48.4457,47.2673,36.7295,31,22,1216,15619,52.8141,93.4966,35.0763,39.1567,39.0948,66.6068,41.848,74.0834,80.6967,2.07863,230,398,52.8141,93.4966,20338200,65.4722,36.9838,,1
TMM,MOT20-06,24.2089,29.9431,24.2228,24,123,12359,87171,34.3379,78.6712,24.4835,24.3737,27.2384,55.7937,26.7377,61.2585,76.2012,12.2609,1088,1955,34.3379,78.6712,20338200,49.2726,21.5062,,1
TMM,MOT20-04,60.4136,56.6441,44.1538,153,81,3223,104178,61.9905,98.1384,40.2054,48.7095,44.3,68.45,50.8847,80.5566,82.9901,1.54952,1099,4018,61.9905,98.1384,20338200,73.1593,46.2121,,1
TDANet,OVERALL,74.6424,77.5294,60.9401,796,111,35120,94311,81.773,92.3358,60.9916,61.0347,67.3009,76.0767,67.2926,75.9849,82.4604,7.84104,1776,6045,81.773,92.3358,403.575,82.5367,73.0949,,1
TDANet,MOT20-08,61.2888,65.6355,51.1117,84,30,6608,22965,70.3616,89.1897,51.5269,50.8409,56.7033,73.129,56.9221,72.1539,81.7799,8.19851,422,1390,70.3616,89.1897,403.575,74.4172,58.7076,,1
TDANet,MOT20-07,76.9765,73.8315,59.2676,76,3,2533,4914,85.1545,91.7546,56.431,62.8463,61.8845,74.5967,69.8069,75.2174,82.1143,4.32991,174,366,85.1545,91.7546,403.575,76.6927,71.1761,,1
TDANet,MOT20-06,64.1699,66.4932,53.0858,136,54,7097,39769,70.0438,92.909,53.1488,53.1184,58.1159,74.5715,57.6488,76.4678,82.6715,7.04067,701,2110,70.0438,92.909,403.575,77.3463,58.3111,,1
TDANet,MOT20-04,83.2081,85.7722,66.9268,500,24,18882,26663,90.272,92.9096,66.4642,67.5235,73.5897,77.3937,74.5918,76.7712,82.5684,9.07788,479,2179,90.272,92.9096,403.575,87.0253,84.5547,,1
Swin_JDE,OVERALL,70.3824,69.5338,55.7131,730,167,26394,124829,75.875,93.7006,54.8182,56.8558,58.7854,77.5729,61.7683,76.2797,82.0774,5.89283,2026,3165,75.875,93.7006,1104.3,77.7017,62.9197,,1
Swin_JDE,MOT20-08,46.4431,52.7655,40.4523,52,57,6544,34573,55.3805,86.7678,41.6887,39.4323,44.4725,73.5661,43.809,68.638,80.0049,8.11911,381,583,55.3805,86.7678,1104.3,67.7181,43.2218,,1
Swin_JDE,MOT20-07,76.333,68.1939,55.3778,77,5,1827,5783,82.5292,93.7313,50.2777,61.467,54.0594,75.0731,67.2018,76.3235,81.9138,3.12308,224,287,82.5292,93.7313,1104.3,72.8221,64.1189,,1
Swin_JDE,MOT20-06,54.2902,54.658,43.0377,103,71,8161,51768,61.0054,90.8458,41.9903,44.3314,45.3779,72.1321,48.3177,71.9519,80.0359,8.09623,754,1192,61.0054,90.8458,1104.3,68.0258,45.6812,,1
Swin_JDE,MOT20-04,84.226,80.0282,64.4495,498,34,9862,32705,88.0675,96.0747,61.5632,67.6279,65.8193,80.0332,72.7042,79.3145,83.1261,4.74135,667,1103,88.0675,96.0747,1104.3,83.6663,76.6933,,1
SUSHIPrivate,OVERALL,74.2941,79.8036,64.3314,782,180,16841,115462,77.6853,95.9788,67.4711,61.4908,71.4317,82.9024,65.5626,81.0014,84.4108,3.75999,706,892,77.6853,95.9788,841,89.1997,72.1983,,1
SUSHIPrivate,MOT20-08,47.6847,60.1968,46.1348,42,76,1309,39128,49.5018,96.6999,54.5273,39.0999,57.3496,80.6305,40.7402,79.5843,82.8436,1.62407,99,161,49.5018,96.6999,841,88.8945,45.5062,,1
SUSHIPrivate,MOT20-07,83.5866,79.8149,68.8038,93,2,1988,3345,89.8946,93.7374,67.1176,71.1137,70.8594,83.754,77.9367,81.2684,85.8365,3.39829,100,110,89.8946,93.7374,841,81.5209,78.1789,,1
SUSHIPrivate,MOT20-06,59.74,69.3092,54.4518,101,83,2933,50297,62.1135,96.5653,59.957,49.5002,63.4608,81.6114,51.9538,80.7705,83.5093,2.90972,218,292,62.1135,96.5653,841,88.5307,56.9454,,1
SUSHIPrivate,MOT20-04,87.7439,88.3573,71.8279,546,19,10611,22692,91.7208,95.95,71.6213,72.1482,75.8532,83.2065,77.6772,81.2589,84.7695,5.10144,289,329,91.7208,95.95,841,90.3944,86.41,,1
SUSHI,OVERALL,61.6216,71.6412,55.4289,591,239,29429,168098,67.5126,92.2301,60.5797,50.838,65.7762,76.6576,55.195,75.4027,81.7818,6.57044,1053,1471,67.5126,92.2301,841,84.7557,62.0413,,0
SUSHI,MOT20-08,28.4059,45.9665,35.6817,25,90,6583,48721,37.1212,81.3755,46.7084,27.3817,49.8557,73.8141,30.0203,65.8091,79.559,8.16749,170,231,37.1212,81.3755,841,73.3661,33.4676,,0
SUSHI,MOT20-07,60.3124,69.8721,53.2849,44,15,1327,11707,64.6325,94.1596,57.8816,49.255,62.0325,78.0577,52.8303,76.9657,82.1298,2.26838,103,137,64.6325,94.1596,841,85.8325,58.9166,,0
SUSHI,MOT20-06,40.1561,55.8427,41.9808,68,95,9818,69253,47.8348,86.6097,50.4126,35.0536,55.0419,72.0339,38.2641,69.2811,79.4311,9.74008,376,541,47.8348,86.6097,841,78.4758,43.3423,,0
SUSHI,MOT20-04,81.567,83.6296,65.2722,454,39,11701,38417,85.9835,95.2698,65.062,65.6013,70.6965,77.9269,70.7982,78.4445,82.6705,5.62548,404,562,85.9835,95.2698,841,88.1456,79.5537,,0
SuppTrack,OVERALL,78.2324,75.487,61.8562,880,105,30187,81119,84.3226,93.529,60.129,63.8485,66.261,75.9426,70.1138,77.7688,83.5736,6.73967,1325,1448,84.3226,93.529,1500,79.6079,71.7718,,1
SuppTrack,MOT20-08,60.9093,63.3933,50.2623,80,33,7228,22705,70.6972,88.3433,50.6408,50.2413,55.1518,74.9393,56.923,71.131,81.7749,8.96774,356,392,70.6972,88.3433,1500,71.3049,57.0621,,1
SuppTrack,MOT20-07,82.357,73.4457,63.9529,90,2,1956,3754,88.659,93.7514,59.3733,69.3233,64.292,76.1695,76.0394,80.407,85.261,3.34359,130,138,88.659,93.7514,1500,75.5551,71.451,,1
SuppTrack,MOT20-06,66.3875,63.6287,52.5514,149,52,8058,36041,72.8519,92.3092,50.7864,54.5635,56.4021,71.3482,59.9329,75.9397,82.8517,7.99405,524,522,72.8519,92.3092,1500,72.1257,56.9228,,1
SuppTrack,MOT20-04,88.3689,84.0312,68.522,561,18,12945,18619,93.2068,95.1772,65.5365,71.7926,72.2977,77.6446,78.0585,79.7086,84.0295,6.22356,315,396,93.2068,95.1772,1500,84.9193,83.1614,,1
